delta_generated_power6,delta_lambda6,delta_voltage6,dif_generated_power6,dif_lambda6,dif_myu_61,dif_myu_62,dif_myu_65,dif_myu_lower_p6,dif_myu_upper_p6,dif_voltage6,generated_power6,iteration6,lambda6,modified_dif_voltage6,myu61,myu62,myu65,myu_lower_p6,myu_upper_p6,original_generated_power6,original_lambda6,P_61,P_62,P_65,line61,line62,line65,voltage6,time step,current time
0,0.0607259093573731,-0.0071427418258736,-0.12146804274309009,149.99757834347065,-914.2872243883744,-128.5714316912106,-892.8610777361143,0,0,-1275.2440965048336,-200,39,2.1111808423927534,-1275.2440965048336,0.0,0.0,0.0,0,1.9897209116638352,-200,2.1111808423927534,-85.7127756116256,-71.42856830878941,107.13892226388566,0,0,0,349.7265302304168,0.00246429443359375,1526286604.776991
0,0.06072349157801993,-0.0071427685670073515,-0.12145993072891814,149.99813990688153,-914.2868737263825,-128.5714305591739,-892.8601643786749,0,0,-1275.1933231384173,-200,40,2.1719043339707733,-1275.1933231384173,0.0,0.0,0.0,0,2.050450877028294,-200,2.1719043339707733,-85.71312627361749,-71.4285694408261,107.13983562132512,0,0,0,349.7193874618498,0.0028052330017089844,1526286604.7923245
0,0.06072156980248744,-0.007142789109821024,-0.12145345694247922,149.9985713061676,-914.2866045185087,-128.57142983797303,-892.8594630503142,0,0,-1275.1529658522377,-200,41,2.2326259037732608,-1275.1529658522377,0.0,0.0,0.0,0,2.1111776054995337,-200,2.2326259037732608,-85.71339548149126,-71.42857016202697,107.14053694968584,0,0,0,349.71224467274,0.0027577877044677734,1526286604.8069406
0,0.06072004408870724,-0.00714280489006569,-0.12144829827372705,149.9989026909077,-914.2863978344735,-128.571429378394,-892.8589245219598,0,0,-1275.1209258628514,-200,42,2.293345947861968,-1275.1209258628514,0.0,0.0,0.0,0,2.171901754636397,-200,2.293345947861968,-85.71360216552648,-71.42857062160601,107.1410754780402,0,0,0,349.7051018678499,0.004636526107788086,1526286604.8226335
0,0.06071883414823809,-0.007142817011185798,-0.12144419322557098,149.99915723442996,-914.2862391466053,-128.5714290855367,-892.8585109977121,0,0,-1275.0955171129972,-200,43,2.354064782010206,-1275.0955171129972,0.0,0.0,0.0,0,2.2326238512491825,-200,2.354064782010206,-85.71376085339466,-71.42857091446331,107.14148900228793,0,0,0,349.69795905083873,0.002663135528564453,1526286604.8372905
0,0.060717875613697014,-0.007142826321285156,-0.12144093076102358,149.99935274651648,-914.286117305636,-128.57142889891975,-892.8581934580393,0,0,-1275.0753878876385,-200,44,2.414782657623903,-1275.0753878876385,0.0,0.0,0.0,0,2.2933443166296943,-200,2.414782657623903,-85.71388269436397,-71.42857110108025,107.1418065419607,0,0,0,349.69081622451745,0.004112720489501953,1526286604.8527164
0,0.06071711697778781,-0.007142833471959875,-0.1214383409942088,149.99950291168034,-914.2860237530499,-128.57142878014542,-892.857949621515,0,0,-1275.059456533545,-200,45,2.475499774601691,-1275.059456533545,0.0,0.0,0.0,0,2.3540634871267985,-200,2.475499774601691,-85.7139762469501,-71.42857121985458,107.14205037848501,0,0,0,349.6836733910455,0.00629734992980957,1526286604.8701394
0,0.06071651709408954,-0.007142838964000475,-0.12143628747489243,149.999618244334,-914.285951919652,-128.57142870454368,-892.8577623798617,0,0,-1275.046858975882,-200,46,2.5362162916957804,-1275.046858975882,0.0,0.0,0.0,0,2.414781630864245,-200,2.5362162916957804,-85.714048080348,-71.42857129545632,107.1422376201383,0,0,0,349.6765305520815,0.003278493881225586,1526286604.885918
0,0.060716043144230625,-0.007142843182009528,-0.12143466083153553,149.9997068217283,-914.28589676201,-128.57142865619835,-892.85761859648,0,0,-1275.036906028843,-200,47,2.596932334840011,-1275.036906028843,0.0,0.0,0.0,0,2.475498961280013,-200,2.596932334840011,-85.71410323799,-71.42857134380165,107.14238140351995,0,0,0,349.6693877088995,0.0003082752227783203,1526286604.897312
0,0.060715668989846705,-0.007142846421402282,-0.12143337355999817,149.99977484897613,-914.2858544081207,-128.5714286253608,-892.8575081845054,0,0,-1275.0290487867787,-200,48,2.6576480038298578,-1275.0290487867787,0.0,0.0,0.0,0,2.536215648060012,-200,2.6576480038298578,-85.71414559187929,-71.4285713746392,107.14249181549462,0,0,0,349.6622448624781,0.004956960678100586,1526286604.9131722
