I_21,I_23,dif_generated_power2,dif_lambda2,dif_myu_21,dif_myu_23,dif_myu_lower_p2,dif_myu_lower_v2,dif_myu_upper_p2,dif_myu_upper_v2,dif_voltage2,generated_power2,iteration2,lambda2,modified_dif_voltage2,myu21,myu23,myu_lower_p2,myu_lower_v2,myu_upper_p2,myu_upper_v2,original_generated_power2,original_lambda2,original_voltage2,line21,line23,voltage2,time step,current time
-45.10008387492462,-10.31311141210665,-0.20835729277495574,32091.958439405018,-954.8999161250754,-989.6868885878933,0,1.8271263219119191,0,-51.82712632191192,-7123.54087573233,-50000,45,5.42804010646698,-1.1513999665805272,0.0,0.0,0,6388.810060798392,5.222096590426183,0,-50000,5.42804010646698,323.2165416025948,0,0,323.2165416025948,0.002366304397583008,1523791754.5757263
-47.92157994819149,-10.11319739943076,-0.2059435160407972,31242.199973024926,-952.0784200518085,-989.8868026005692,0,1.7834583974051839,0,-51.783458397405184,-7029.338365648677,-50000,46,5.528459225976247,-0.19890330583552895,0.0,0.0,0,6567.155900538911,5.325068348446582,0,-50000,5.528459225976247,323.2705098851874,0,0,323.2705098851874,0.0002193450927734375,1523791754.586363
-50.91178552245253,-9.749204826698588,-0.20339087752966556,30390.090719689488,-949.0882144775475,-990.2507951733014,0,1.72949011481262,0,-51.72949011481262,-6934.284391189493,-50000,47,5.627520431564669,0.7422766339442148,0.0,0.0,0,6740.104912020173,5.4267637872114145,0,-50000,5.627520431564669,323.32458526224997,0,0,323.32458526224997,0.001585245132446289,1523791754.5989993
-54.16460957739616,-9.461069257012582,-0.20075664435325447,29428.253778835675,-945.8353904226038,-990.5389307429874,0,1.6754147377500317,0,-51.67541473775003,-6832.727845494546,-50000,48,5.7251308293574485,1.6983673510566035,0.0,0.0,0,6907.646385795177,5.527142109388041,0,-50000,5.7251308293574485,323.3860338619042,0,0,323.3860338619042,0.0006456375122070312,1523791754.6112509
-57.553512179744644,-9.073412937624425,-0.19798871996940726,28453.782937879932,-942.4464878202554,-990.9265870623756,0,1.6139661380958046,0,-51.613966138095805,-6726.461660692399,-50000,49,5.8212231387959115,2.65329483522855,0.0,0.0,0,7069.042999604757,5.626136469372745,0,-50000,5.8212231387959115,323.4480484802009,0,0,323.4480484802009,0.00467228889465332,1523791754.6267204
-61.17540750342869,-8.730938389725225,-0.19508666942316655,27388.92884447746,-938.8245924965713,-991.2690616102748,0,1.551951519799104,0,-51.551951519799104,-6613.065607586917,-50000,50,5.915695504618582,3.6209331882969877,0.0,0.0,0,7224.238151584667,5.723679804084329,0,-50000,5.915695504618582,323.51600976879354,0,0,323.51600976879354,0.0010809898376464844,1523791754.6385498
-64.93896008730303,-8.31704566379642,-0.19201570053425332,26300.509327804513,-935.061039912697,-991.6829543362036,0,1.4839902312064623,0,-51.48399023120646,-6493.699376856269,-50000,51,6.008462638573672,4.590101332060229,0.0,0.0,0,7372.637174705314,5.819687654351455,0,-50000,6.008462638573672,323.58522786064657,0,0,323.58522786064657,0.0018541812896728516,1523791754.6520233
-68.91088848368327,-7.929595084637526,-0.18877498422221706,25135.55461562265,-931.0891115163167,-992.0704049153625,0,1.4147721393534312,0,-51.41477213935343,-6366.915750885808,-50000,52,6.099418577872041,5.56951482566933,0.0,0.0,0,7514.114388640657,5.914075146462563,0,-50000,6.099418577872041,323.65938293823314,0,0,323.65938293823314,0.0002613067626953125,1523791754.6631048
-73.02635251991319,-7.489064391701277,-0.1853434314094775,23940.42984537228,-926.9736474800868,-992.5109356082987,0,1.3406170617668636,0,-51.340617061766864,-6233.503642274684,-50000,53,6.188468629904536,6.551050251017145,0.0,0.0,0,7648.176094817343,6.006746862167303,0,-50000,6.188468629904536,323.7352195569216,0,0,323.7352195569216,0.0022945404052734375,1523791754.676165
-77.3293804725273,-7.062686598486607,-0.18172176773723336,22679.31563790286,-922.6706195274727,-992.9373134015134,0,1.2647804430783935,0,-51.26478044307839,-6092.570802824919,-50000,54,6.2755053556591776,7.540170554423767,0.0,0.0,0,7774.654139125183,6.097607746035919,0,-50000,6.2755053556591776,323.81523251178015,0,0,323.81523251178015,0.00027823448181152344,1523791754.6877778
