I_32,dif_generated_power3,dif_lambda3,dif_myu_32,dif_myu_lower_p3,dif_myu_lower_v3,dif_myu_upper_p3,dif_myu_upper_v3,dif_voltage3,generated_power3,iteration3,lambda3,modified_dif_voltage3,myu32,myu_lower_p3,myu_lower_v3,myu_upper_p3,myu_upper_v3,original_generated_power3,original_lambda3,original_voltage3,line32,voltage3,time step,current time
-34.28779886672544,-0.07650861344707405,38980.46196766704,-965.7122011332746,0,3.616347606178465,0,-53.616347606178465,-13924.769817679653,-50000,41,1.274495339789776,-17.583016996540213,0.0,0,8490.551065126132,1.1964559764442972,0,-50000,1.274495339789776,321.4206154071446,0,321.4206154071446,0.012673139572143555,1523627294.2092981
-33.397508349711984,-0.07803936334547878,39265.352313170326,-966.602491650288,0,3.5793845928553765,0,-53.57938459285538,-14329.350968935762,-50000,42,1.3154363425581639,-17.71666300565614,0.0,0,8848.48952441167,1.2354756581170365,0,-50000,1.3154363425581639,321.4377140936808,0,321.4377140936808,0.01345372200012207,1523627294.2335417
-32.72410338172676,-0.07996068444112736,39481.23901321246,-967.2758966182732,0,3.5622859063191754,0,-53.562285906319175,-14806.580901188696,-50000,43,1.357740859418703,-18.083816873032134,0.0,0,9204.718115043588,1.2754560003376003,0,-50000,1.357740859418703,321.4750488411395,0,321.4750488411395,0.011704683303833008,1523627294.256252
-31.823520676282442,-0.08228485908110272,39769.53213629509,-968.1764793237176,0,3.5249511588605174,0,-53.52495115886052,-15337.479507645592,-50000,44,1.4015622294405476,-18.623771357288735,0.0,0,9557.21323092964,1.3165984298781517,0,-50000,1.4015622294405476,321.5097067673358,0,321.5097067673358,0.011189460754394531,1523627294.278237
-30.937422879682117,-0.08496379956239597,40053.318241816334,-969.0625771203179,0,3.4902932326642144,0,-53.490293232664214,-15904.699088026427,-50000,45,1.4470042268349088,-19.28742417416931,0.0,0,9906.24255419606,1.3590803296593497,0,-50000,1.4470042268349088,321.5501972637443,0,321.5501972637443,0.012007951736450195,1523627294.3008142
-30.01967197350666,-0.08792389717555915,40347.16855512604,-969.9803280264933,0,3.4498027362557195,0,-53.44980273625572,-16489.132860846756,-50000,46,1.4941160350087568,-20.015312894213245,0.0,0,10251.222827821632,1.4030422782471292,0,-50000,1.4941160350087568,321.59170918653155,0,321.59170918653155,0.012035369873046875,1523627294.323733
-29.12217702796056,-0.09107375676162754,40634.54931434542,-970.8778229720394,0,3.4082908134684544,0,-53.408290813468454,-17076.67328408508,-50000,47,1.5429065301061426,-20.765316147369507,0.0,0,10592.051909168476,1.4485791566279431,0,-50000,1.5429065301061426,321.63458913853424,0,321.63458913853424,0.011347770690917969,1523627294.3459723
-28.265109912959474,-0.09432737347819953,40908.96298618977,-971.7348900870405,0,3.3654108614657616,0,-53.36541086146576,-17652.939936876148,-50000,48,1.5933435013543602,-21.49307630282791,0.0,0,10928.592995315052,1.4957428433670428,0,-50000,1.5933435013543602,321.6777109929552,0,321.6777109929552,0.012003660202026367,1523627294.3687096
-27.466227259820926,-0.09760065798731743,41164.726885448494,-972.5337727401791,0,3.3222890070447875,0,-53.32228900704479,-18206.828828096746,-50000,49,1.6453630122917795,-22.164519784724284,0.0,0,11260.82189601953,1.5445431723607015,0,-50000,1.6453630122917795,321.7203002775212,0,321.7203002775212,0.012764453887939453,1523627294.3922393
-26.743406128689458,-0.10081983993107801,41396.10334983433,-973.2565938713105,0,3.2796997224788242,0,-53.279699722478824,-18728.75491057514,-50000,50,1.6988737406077086,-22.749844978220622,0.0,0,11588.791868267412,1.5949530923262405,0,-50000,1.6988737406077086,321.7618073658201,0,321.7618073658201,0.012341499328613281,1523627294.4155607
